score,target,layer_id,scale,level,days,sample_count,mean_rank_ic,mean_spread,positive_day_rate
daily_consensus_score,target_15m_mean_proxy,11,30m,B50,20,3054100,0.005001715659396985,0.00012661965,0.55
daily_consensus_score,target_15m_mean_proxy,11,30m,B35,20,3056304,0.005001706745928579,0.00012707725,0.55
daily_consensus_score,target_30m_mean_proxy,9,15m,B50,20,3425623,-0.00821185391631447,-5.6038436e-05,0.35
daily_consensus_score,target_30m_mean_proxy,9,15m,B35,20,3497628,-0.008249131793656033,-5.7904e-05,0.35
daily_consensus_score,target_30m_mean_proxy,9,30m,B50,20,4323096,-0.0046671722759163165,5.6161834e-06,0.4
daily_consensus_score,target_30m_mean_proxy,9,30m,B35,20,4325229,-0.004644539603498292,6.259652e-06,0.4
daily_consensus_score,target_30m_mean_proxy,8,15m,B50,20,4250220,-0.006087180351644368,-5.108438e-06,0.35
daily_consensus_score,target_30m_mean_proxy,8,15m,B35,20,4257754,-0.006104652490053658,-4.9063065e-06,0.35
daily_consensus_score,target_30m_mean_proxy,8,30m,B50,20,4123020,-0.0035861657687161637,1.2551207e-05,0.35
daily_consensus_score,target_30m_mean_proxy,8,30m,B35,20,4125912,-0.00360259562050481,1.3083057e-05,0.35
daily_consensus_score,target_30m_mean_proxy,6,15m,B50,20,4277753,-0.006632900391500965,-1.0008897e-05,0.35
daily_consensus_score,target_30m_mean_proxy,6,15m,B35,20,4282723,-0.006640372669393735,-9.200131e-06,0.35
daily_consensus_score,target_30m_mean_proxy,6,30m,B50,20,3973270,-0.0045676188874340115,5.1881043e-06,0.35
daily_consensus_score,target_30m_mean_proxy,6,30m,B35,20,3974270,-0.004556667075227806,5.2557443e-06,0.35
daily_consensus_score,target_30m_mean_proxy,3,15m,B50,20,3917118,-0.004898400608188724,-2.5834122e-05,0.35
daily_consensus_score,target_30m_mean_proxy,3,15m,B35,20,3923797,-0.0049673588325853365,-2.644279e-05,0.35
daily_consensus_score,target_30m_mean_proxy,3,30m,B50,20,3052001,-0.0070226982999304745,-6.7988134e-05,0.5
daily_consensus_score,target_30m_mean_proxy,3,30m,B35,20,3060820,-0.006844950787558446,-6.420197e-05,0.5
daily_consensus_score,target_30m_mean_proxy,11,15m,B50,20,2794270,-0.003926841207809024,2.3067061e-05,0.5
daily_consensus_score,target_30m_mean_proxy,11,15m,B35,20,2822139,-0.003912874799445758,2.4214158e-05,0.45
daily_consensus_score,target_30m_mean_proxy,11,30m,B50,20,2913428,-0.0028861544553055096,6.5828484e-05,0.45
daily_consensus_score,target_30m_mean_proxy,11,30m,B35,20,2915627,-0.0028780599800226855,6.667954e-05,0.45
daily_consensus_score,target_60m_mean_proxy,9,15m,B50,20,3116404,-0.0074525364772762125,-2.3427774e-05,0.4
daily_consensus_score,target_60m_mean_proxy,9,15m,B35,20,3182674,-0.007556641221053308,-2.576711e-05,0.4
daily_consensus_score,target_60m_mean_proxy,9,30m,B50,20,3939791,-0.005215774437524903,1.616173e-05,0.4
daily_consensus_score,target_60m_mean_proxy,9,30m,B35,20,3941923,-0.005195422707591954,1.6949762e-05,0.4
daily_consensus_score,target_60m_mean_proxy,8,15m,B50,20,3869679,-0.006202697505397817,-1.5929869e-05,0.4
daily_consensus_score,target_60m_mean_proxy,8,15m,B35,20,3877215,-0.006239350736062105,-1.582205e-05,0.4
daily_consensus_score,target_60m_mean_proxy,8,30m,B50,20,3754172,-0.004091469804341429,2.335363e-05,0.4
daily_consensus_score,target_60m_mean_proxy,8,30m,B35,20,3757068,-0.004089823300804063,2.4050503e-05,0.4
daily_consensus_score,target_60m_mean_proxy,6,15m,B50,20,3897083,-0.006600197273918053,-8.207739e-06,0.4
daily_consensus_score,target_60m_mean_proxy,6,15m,B35,20,3902047,-0.006607131826129731,-7.994227e-06,0.4
daily_consensus_score,target_60m_mean_proxy,6,30m,B50,20,3624163,-0.00475974868686581,6.7320652e-06,0.4
daily_consensus_score,target_60m_mean_proxy,6,30m,B35,20,3625162,-0.004763062713563096,6.5253e-06,0.4
daily_consensus_score,target_60m_mean_proxy,3,15m,B50,20,3561240,-0.004417637742454503,-3.179614e-05,0.35
daily_consensus_score,target_60m_mean_proxy,3,15m,B35,20,3567916,-0.0044616302511586966,-3.182779e-05,0.35
daily_consensus_score,target_60m_mean_proxy,3,30m,B50,20,2766681,-0.0065798773092004435,-7.966494e-05,0.4
daily_consensus_score,target_60m_mean_proxy,3,30m,B35,20,2775331,-0.00645935094034685,-7.688068e-05,0.4
daily_consensus_score,target_60m_mean_proxy,11,15m,B50,20,2517169,-0.004468632607140579,-2.0935302e-06,0.4
daily_consensus_score,target_60m_mean_proxy,11,15m,B35,20,2543623,-0.00457781925746477,-5.0532517e-06,0.4
daily_consensus_score,target_60m_mean_proxy,11,30m,B50,20,2645073,-0.0034290481392864787,7.852309e-05,0.45
